#{"t_start": 1656160890.173515, "env_id": "uav-v2"}
r,l,t
-408.787764,600,18.343402
-468.668511,600,36.291843
-655.743094,600,54.23869
-774.95033,600,87.032138
-0.511998,600,105.016382
-517.946491,600,137.280524
-203.54539,600,166.409718
-538.606981,600,183.342549
-224.745005,600,200.247433
-277.078412,600,217.017797
-33.96568,600,257.275283
-218.841144,600,274.115364
-107.634628,600,290.973294
-664.337251,600,319.414444
-70.420176,600,337.40047
-186.023726,600,369.159392
-71.608526,600,387.096899
-849.940588,600,419.362743
-87.212808,600,436.910018
-73.371658,600,454.446716
-34.007935,600,500.644375
32.722538,600,518.354985
46.545684,600,535.880585
-10.852886,600,565.15507
42.527538,600,582.137628
30.340643,600,599.100443
45.213399,600,628.284821
-32.71788,600,655.536884
39.462563,600,672.597292
-76.789377,600,689.702096
-96.287715,600,719.386945
-64.363051,600,751.514009
-6.832759,600,769.506256
170.132059,600,787.546402
66.330185,600,818.27319
-11.254145,600,835.287543
81.249035,600,865.157665
159.025062,600,893.279426
90.300584,600,910.367155
212.140342,600,927.272003
232.448715,600,954.569969
-18.307214,600,983.994534
96.602068,600,1000.745649
-2.721418,600,1017.391799
213.614158,600,1045.010871
22.59894,600,1061.635631
14.227828,600,1091.370128
7.281827,600,1120.283457
77.536967,600,1138.192464
139.840505,600,1156.102183
202.737326,600,1174.005688
218.091397,600,1203.861888
232.130071,600,1233.441526
296.007226,600,1250.38612
50.179597,600,1277.879917
64.792913,600,1294.829199
212.426687,600,1311.782382
344.561207,600,1341.374275
96.353933,600,1368.964698
49.714556,600,1385.950919
104.094387,600,1402.917142
103.148537,600,1430.509242
49.435509,600,1460.071904
86.420549,600,1476.988143
47.133854,600,1504.514984
122.718122,600,1521.449118
16.484702,600,1538.396673
60.33957,600,1567.934945
150.868587,600,1595.509948
-182.320412,600,1612.432323
84.242556,600,1629.375482
-286.288947,600,1656.961135
613.91242,600,1686.420176
309.265048,600,1703.275033
50.570576,600,1721.017041
144.906265,600,1748.899052
62.739399,600,1765.356757
165.431219,600,1781.822959
37.764382,600,1824.101749
191.52075,600,1841.452781
46.21309,600,1858.795182
254.606584,600,1889.320318
268.25665,600,1906.665379
-88.547535,600,1937.147546
195.55672,600,1954.499112
170.82133,600,1981.404904
59.886327,600,1997.825905
-34.117578,600,2014.261052
317.228532,600,2053.028156
-131.633918,600,2069.470752
146.096331,600,2085.910261
24.746114,600,2102.351674
217.582339,600,2128.822706
305.276094,600,2157.55062
61.093122,600,2173.98471
-278.909447,600,2200.455698
-305.76152,600,2216.871832
436.40151,600,2233.304472
365.559805,600,2272.01896
228.760145,600,2288.467184
-33.50074,600,2304.904006
117.077577,600,2321.341459
122.349763,600,2347.777622
278.103161,600,2364.204838
-54.105984,600,2392.878493
74.581216,600,2419.281374
5.534777,600,2435.698071
269.513763,600,2452.113562
274.276921,600,2468.523462
336.454258,600,2507.319558
184.114905,600,2523.747105
69.601637,600,2540.182474
279.1196,600,2566.621801
189.206059,600,2583.064823
637.038713,600,2611.761654
345.998286,600,2628.176104
171.113746,600,2654.557793
70.960592,600,2670.967747
272.640982,600,2687.378652
185.559313,600,2726.037274
11.657596,600,2742.482564
287.428031,600,2758.929798
258.565516,600,2785.357988
-127.292408,600,2801.799493
200.128661,600,2818.255593
202.037905,600,2846.916376
158.269392,600,2873.333993
220.156427,600,2889.741373
205.007135,600,2906.16976
351.950741,600,2932.571102
-126.232231,600,2961.231072
119.378185,600,2977.651712
172.835752,600,2994.083288
216.187897,600,3020.513747
245.794329,600,3036.952249
541.606532,600,3065.642219
151.812237,600,3092.043578
159.151053,600,3108.450886
297.320392,600,3124.862653
284.467888,600,3151.25896
217.916499,600,3179.929761
-189.616217,600,3196.362561
200.032348,600,3212.796978
205.801735,600,3239.214073
15.038726,600,3255.64075
329.658601,600,3284.331648
259.082431,600,3310.729716
127.664938,600,3327.142126
386.958899,600,3343.56059
285.42591,600,3359.958757
174.464226,600,3386.355768
180.116284,600,3415.010751
157.06117,600,3431.436721
278.020777,600,3457.86078
243.897952,600,3474.278807
194.274075,600,3490.709819
286.193116,600,3519.410755
143.795803,600,3545.806895
181.953633,600,3562.208498
188.431944,600,3578.602292
339.270229,600,3605.000703
242.629317,600,3633.655703
77.247346,600,3650.079514
237.920596,600,3676.490794
209.268014,600,3692.917601
277.066597,600,3709.340523
207.893568,600,3737.999362
84.642784,600,3764.424939
97.65793,600,3780.844649
173.978167,600,3797.252009
261.542823,600,3823.926539
133.181783,600,3854.600096
336.427887,600,3872.060163
596.547988,600,3889.373861
290.761979,600,3919.885258
260.151024,600,3937.225534
316.173315,600,3954.554554
118.537603,600,3998.162279
198.021997,600,4015.453367
226.924305,600,4032.746283
238.027345,600,4063.197125
514.135625,600,4080.491558
410.350655,600,4110.941365
308.925943,600,4128.255475
502.692716,600,4158.73108
361.566269,600,4176.061914
151.890375,600,4193.371715
127.797719,600,4236.974286
540.604833,600,4254.275836
253.611365,600,4271.58151
226.82836,600,4288.885207
430.137591,600,4319.355222
199.444665,600,4349.78968
614.778648,600,4367.095973
310.536323,600,4397.559194
289.785707,600,4414.87122
178.374982,600,4432.179441
280.089411,600,4475.785193
144.602115,600,4493.059996
